scheme_code,scheme_name,nav,nav_date
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,104.7025,2026-06-01
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.7275,2026-06-01
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,103.9878,2026-06-01
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,146.6131,2026-06-01
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.1177,2026-06-01
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,101.6381,2026-06-01
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,112.9122,2026-06-01
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,102.8254,2026-06-01
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,379.8089,2026-06-01
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,570.1447,2026-06-01
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,395.4177,2026-06-01
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1037.6658,2026-06-01
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2832.3287,2026-06-01
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1032.6818,2026-06-01
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1037.2596,2026-06-01
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2015-05-18
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1037.4635,2026-06-01
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2739.597,2026-06-01
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1032.3933,2026-06-01
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1037.0883,2026-06-01
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9606,2026-06-01
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.9362,2026-06-01
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.77,2026-06-01
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.77,2026-06-01
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.9362,2026-06-01
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.8842,2026-06-01
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.0934,2026-06-01
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4624,2026-06-01
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4464,2026-06-01
121279,Bandhan Banking and PSU Fund - Direct Growth,26.4363,2026-06-01
121281,Bandhan Banking and PSU Fund - Direct IDCW,13.9061,2026-06-01
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.436,2026-06-01
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,11.0119,2026-06-01
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.1344,2026-06-01
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8616,2026-06-01
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.5973,2026-06-01
121280,Bandhan Banking and PSU Fund - Regular Growth,25.6164,2026-06-01
121282,Bandhan Banking and PSU Fund - Regular IDCW,13.8327,2026-06-01
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.6798,2026-06-01
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,10.903,2026-06-01
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.624,2026-06-01
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.849,2026-06-01
