month,sip_inflow_cr,active_accounts_cr
2022-01-01,11103.0,7.33
2022-02-01,11201.15,9.65
2022-03-01,11284.81,4.75
2022-04-01,11414.88,9.96
2022-05-01,11624.63,8.62
2022-06-01,11838.08,9.41
2022-07-01,11989.41,6.24
2022-08-01,12188.19,8.14
2022-09-01,12317.45,5.02
2022-10-01,12517.01,5.94
2022-11-01,12755.49,5.83
2022-12-01,12842.76,9.07
2023-01-01,12936.5,5.49
2023-02-01,13117.49,9.31
2023-03-01,13221.73,6.21
2023-04-01,13442.02,9.85
2023-05-01,13610.19,5.29
2023-06-01,13681.09,5.76
2023-07-01,13776.54,8.23
2023-08-01,13870.6,7.28
2023-09-01,14084.4,7.7
2023-10-01,14197.03,8.92
2023-11-01,14420.37,8.56
2023-12-01,14520.82,5.18
2024-01-01,14795.46,6.69
2024-02-01,14936.22,7.19
2024-03-01,15159.41,9.76
2024-04-01,15300.35,9.59
2024-05-01,15382.55,7.55
2024-06-01,15605.75,5.08
2024-07-01,15716.63,6.81
2024-08-01,16023.0,7.78
2024-09-01,16327.36,8.92
2024-10-01,16523.47,8.82
2024-11-01,16610.51,5.1
2024-12-01,16900.22,8.88
2025-01-01,17043.69,7.42
2025-02-01,17283.84,9.27
2025-03-01,17526.62,6.77
2025-04-01,17712.63,6.84
2025-05-01,17974.4,9.27
2025-06-01,18186.65,5.86
2025-07-01,18342.15,8.6
2025-08-01,18658.52,5.08
2025-09-01,18770.44,7.77
2025-10-01,18905.45,9.04
2025-11-01,19087.98,5.29
2025-12-01,31002.0,5.41
