investor_id,age,income_band,state,city_tier,txn_type,amount,scheme_code,txn_date
INV63771,32,25L+,UP,Tier3,SIP,10000,119092,2023-06-14
INV32217,62,12-25L,Maharashtra,Tier2,Lumpsum,5000,119551,2022-08-29
INV64322,24,5-12L,Karnataka,Tier1,SIP,50000,120841,2022-10-29
INV83489,23,5-12L,Karnataka,Tier3,SIP,10000,125497,2024-06-29
INV30764,47,25L+,MP,Tier2,Lumpsum,500,118632,2024-09-17
INV51203,28,25L+,Punjab,Tier3,SIP,25000,119551,2026-01-10
INV60123,41,25L+,Rajasthan,Tier3,SIP,50000,119092,2025-07-25
INV23363,35,12-25L,Punjab,Tier1,SIP,10000,118632,2023-10-25
INV67213,35,25L+,Maharashtra,Tier3,SIP,500,120503,2022-01-31
INV73188,29,12-25L,Telangana,Tier3,Lumpsum,10000,119092,2023-05-23
INV21175,60,5-12L,Rajasthan,Tier1,SIP,500,119092,2025-01-13
INV15420,29,25L+,West Bengal,Tier1,SIP,50000,120841,2022-01-27
INV59801,64,12-25L,Rajasthan,Tier2,Lumpsum,500,125497,2025-11-09
INV47353,45,5-12L,Rajasthan,Tier1,SIP,1000,120503,2024-08-09
INV21882,34,12-25L,Rajasthan,Tier3,SIP,25000,125497,2024-08-11
INV24063,31,25L+,MP,Tier3,SIP,1000,119551,2024-06-04
INV57272,39,25L+,Telangana,Tier2,SIP,25000,119551,2025-04-28
INV74584,64,5-12L,UP,Tier3,SIP,5000,125497,2025-06-27
INV42258,44,12-25L,Gujarat,Tier3,Lumpsum,500,118632,2023-09-25
INV24401,51,12-25L,Karnataka,Tier2,SIP,50000,119092,2022-11-16
INV92790,58,25L+,MP,Tier1,SIP,1000,120841,2025-03-19
INV67998,59,12-25L,Gujarat,Tier2,Lumpsum,5000,118632,2025-03-15
INV58054,55,25L+,West Bengal,Tier2,Redemption,500,119092,2025-10-16
INV87507,56,12-25L,Karnataka,Tier1,Lumpsum,1000,120503,2022-02-07
INV28930,64,25L+,Gujarat,Tier3,Lumpsum,25000,118632,2023-09-24
INV66398,35,12-25L,Rajasthan,Tier2,SIP,10000,125497,2024-08-20
INV61820,62,12-25L,UP,Tier1,SIP,1000,120503,2023-09-23
INV79201,27,5-12L,Karnataka,Tier1,SIP,10000,125497,2026-03-08
INV75452,32,5-12L,Karnataka,Tier2,Lumpsum,25000,120503,2023-03-21
INV53024,30,25L+,Tamil Nadu,Tier2,SIP,5000,120503,2023-02-20
INV21517,23,5-12L,UP,Tier1,SIP,50000,119092,2024-03-03
INV89524,26,5-12L,Delhi,Tier1,Lumpsum,2000,119551,2025-11-03
INV79539,60,5-12L,Kerala,Tier2,Redemption,50000,118632,2022-04-25
INV46910,27,25L+,Delhi,Tier1,SIP,5000,119092,2025-09-15
INV76865,48,12-25L,West Bengal,Tier2,SIP,1000,120503,2022-09-14
INV19599,58,12-25L,Rajasthan,Tier2,SIP,25000,120841,2023-08-18
INV85167,39,5-12L,Punjab,Tier1,SIP,25000,118632,2026-02-15
INV46762,27,5-12L,MP,Tier3,SIP,500,119551,2025-09-16
INV65593,29,12-25L,Gujarat,Tier1,SIP,5000,120841,2025-02-10
INV22068,58,12-25L,MP,Tier3,SIP,2000,119092,2023-02-02
INV39977,32,5-12L,Karnataka,Tier1,Lumpsum,50000,125497,2025-05-28
INV39556,44,5-12L,UP,Tier2,SIP,5000,119092,2023-11-27
INV42523,27,12-25L,Karnataka,Tier1,SIP,50000,120841,2026-03-06
INV23204,29,12-25L,West Bengal,Tier3,SIP,1000,120841,2022-02-18
INV44211,27,5-12L,Kerala,Tier1,SIP,2000,125497,2024-01-15
INV97384,39,12-25L,West Bengal,Tier2,Redemption,1000,125497,2025-08-02
INV83521,53,12-25L,UP,Tier3,Redemption,1000,119092,2023-07-01
