scheme_code,scheme_name,nav,nav_date
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,104.7025,01-Jun-2026
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.7275,01-Jun-2026
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,103.9878,01-Jun-2026
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,146.6131,01-Jun-2026
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.1177,01-Jun-2026
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,101.6381,01-Jun-2026
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,112.9122,01-Jun-2026
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,102.8254,01-Jun-2026
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,379.8089,01-Jun-2026
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,570.1447,01-Jun-2026
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,395.4177,01-Jun-2026
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,14-Jun-2017
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1037.6658,01-Jun-2026
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2832.3287,01-Jun-2026
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1032.6818,01-Jun-2026
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1037.2596,01-Jun-2026
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,18-May-2015
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1037.4635,01-Jun-2026
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2739.5970,01-Jun-2026
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1032.3933,01-Jun-2026
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1037.0883,01-Jun-2026
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9606,01-Jun-2026
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.9362,01-Jun-2026
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.7700,01-Jun-2026
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.7700,01-Jun-2026
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.9362,01-Jun-2026
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.8842,01-Jun-2026
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.0934,01-Jun-2026
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4624,01-Jun-2026
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4464,01-Jun-2026
121279,Bandhan Banking and PSU Fund - Direct Growth,26.4363,01-Jun-2026
121281,Bandhan Banking and PSU Fund - Direct IDCW,13.9061,01-Jun-2026
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.4360,01-Jun-2026
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,11.0119,01-Jun-2026
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.1344,01-Jun-2026
