month,folio_count_cr
2022-01,13.59
2022-02,14.02
2022-03,14.4
2022-04,14.7
2022-05,15.12
2022-06,15.44
2022-07,15.86
2022-08,16.17
2022-09,16.54
2022-10,16.87
2022-11,17.17
2022-12,17.6
2023-01,17.89
2023-02,18.16
2023-03,18.47
2023-04,18.87
2023-05,19.28
2023-06,19.73
2023-07,20.04
2023-08,20.37
2023-09,20.65
2023-10,21.01
2023-11,21.46
2023-12,21.85
2024-01,22.22
2024-02,22.55
2024-03,22.98
2024-04,23.33
2024-05,23.61
2024-06,23.93
2024-07,24.2
2024-08,24.49
2024-09,24.74
2024-10,25.08
2024-11,25.46
2024-12,25.78
2025-01,26.11
2025-02,26.55
2025-03,26.95
2025-04,27.31
2025-05,27.62
2025-06,28.05
2025-07,28.34
2025-08,28.66
2025-09,29.09
2025-10,29.45
2025-11,29.84
2025-12,26.12
